,dow,dom,month,year,in_demand,out_demand,prev_holy,pos_holy
0,3,1,7,2014,523600.0,523600.0,0,0
1,4,2,7,2014,1017634.0,1017634.0,0,1
2,5,3,7,2014,0.0,0.0,0,0
3,6,4,7,2014,2300000.0,2300000.0,1,0
4,7,5,7,2014,0.0,0.0,0,0
5,1,6,7,2014,0.0,0.0,0,0
6,2,7,7,2014,1090000.0,1090000.0,0,0
7,3,8,7,2014,590000.0,590000.0,0,1
8,4,9,7,2014,0.0,0.0,0,0
9,5,10,7,2014,430000.0,430000.0,1,0
10,6,11,7,2014,471000.0,471000.0,0,0
11,7,12,7,2014,0.0,0.0,0,0
12,1,13,7,2014,0.0,0.0,0,0
13,2,14,7,2014,473500.0,473500.0,0,0
14,3,15,7,2014,717500.0,717500.0,0,0
15,4,16,7,2014,679500.0,679500.0,0,0
16,5,17,7,2014,639900.0,639900.0,0,0
17,6,18,7,2014,538300.0,538300.0,0,0
18,7,19,7,2014,0.0,0.0,0,0
19,1,20,7,2014,0.0,0.0,0,0
20,2,21,7,2014,728400.0,728400.0,0,0
21,3,22,7,2014,629900.0,629900.0,0,0
22,4,23,7,2014,596834.0,596834.0,0,0
23,5,24,7,2014,681900.0,681900.0,0,0
24,6,25,7,2014,905195.0,905195.0,0,0
25,7,26,7,2014,0.0,0.0,0,0
26,1,27,7,2014,0.0,0.0,0,0
27,2,28,7,2014,704700.0,704700.0,0,0
28,3,29,7,2014,537100.0,537100.0,0,0
29,4,30,7,2014,867134.0,867134.0,0,0
30,5,31,7,2014,774500.0,774500.0,0,0
31,6,1,8,2014,1213500.0,1213500.0,0,0
32,7,2,8,2014,0.0,0.0,0,0
33,1,3,8,2014,0.0,0.0,0,0
34,2,4,8,2014,1163500.0,1163500.0,0,0
35,3,5,8,2014,1233000.0,1233000.0,0,0
36,4,6,8,2014,1155000.0,1155000.0,0,0
37,5,7,8,2014,1358000.0,1358000.0,0,0
38,6,8,8,2014,1538300.0,1538300.0,0,0
39,7,9,8,2014,0.0,0.0,0,0
40,1,10,8,2014,0.0,0.0,0,0
41,2,11,8,2014,1163300.0,1163300.0,0,0
42,3,12,8,2014,677300.0,677300.0,0,0
43,4,13,8,2014,1063300.0,1063300.0,0,0
44,5,14,8,2014,2590200.0,2590200.0,0,0
45,6,15,8,2014,1158200.0,1158200.0,0,1
46,7,16,8,2014,0.0,0.0,0,0
47,1,17,8,2014,0.0,0.0,0,0
48,2,18,8,2014,0.0,0.0,0,0
49,3,19,8,2014,662300.0,662300.0,1,0
50,4,20,8,2014,789300.0,789300.0,0,0
51,5,21,8,2014,1020800.0,1020800.0,0,1
52,6,22,8,2014,0.0,0.0,0,0
53,7,23,8,2014,0.0,0.0,0,0
54,1,24,8,2014,0.0,0.0,0,0
55,2,25,8,2014,788858.0,788858.0,1,0
56,3,26,8,2014,1187200.0,1187200.0,0,0
57,4,27,8,2014,847200.0,847200.0,0,2
58,5,28,8,2014,0.0,0.0,0,0
59,6,29,8,2014,0.0,0.0,0,0
60,7,30,8,2014,0.0,0.0,0,0
61,1,31,8,2014,0.0,0.0,0,0
62,2,1,9,2014,1420200.0,1420200.0,2,0
63,3,2,9,2014,1407200.0,1407200.0,0,0
64,4,3,9,2014,1537200.0,1537200.0,0,0
65,5,4,9,2014,1506200.0,1506200.0,0,0
66,6,5,9,2014,1467200.0,1467200.0,0,0
67,7,6,9,2014,0.0,0.0,0,0
68,1,7,9,2014,0.0,0.0,0,0
69,2,8,9,2014,1433700.0,1433700.0,0,1
70,3,9,9,2014,0.0,0.0,0,0
71,4,10,9,2014,1438700.0,1438700.0,1,0
72,5,11,9,2014,3334700.0,3334700.0,0,0
73,6,12,9,2014,2073700.0,2073700.0,0,1
74,7,13,9,2014,0.0,0.0,0,0
75,1,14,9,2014,0.0,0.0,0,0
76,2,15,9,2014,0.0,0.0,0,0
77,3,16,9,2014,711700.0,711700.0,1,0
78,4,17,9,2014,1064700.0,1064700.0,0,0
79,5,18,9,2014,1523700.0,1523700.0,0,0
80,6,19,9,2014,1703700.0,1703700.0,0,0
81,7,20,9,2014,0.0,0.0,0,0
82,1,21,9,2014,0.0,0.0,0,0
83,2,22,9,2014,1877700.0,1877700.0,0,0
84,3,23,9,2014,1098700.0,1098700.0,0,0
85,4,24,9,2014,2126700.0,2126700.0,0,0
86,5,25,9,2014,1795700.0,1795700.0,0,0
87,6,26,9,2014,2381700.0,2381700.0,0,0
88,7,27,9,2014,0.0,0.0,0,0
89,1,28,9,2014,0.0,0.0,0,0
90,2,29,9,2014,2262700.0,2262700.0,0,0
91,3,30,9,2014,1560700.0,1560700.0,0,0
92,4,1,10,2014,5322700.0,5322700.0,0,0
93,5,2,10,2014,4178700.0,4178700.0,0,0
94,6,3,10,2014,5020200.0,5020200.0,0,0
95,7,4,10,2014,0.0,0.0,0,0
96,1,5,10,2014,0.0,0.0,0,0
97,2,6,10,2014,1346200.0,1346200.0,0,0
98,3,7,10,2014,4875200.0,4875200.0,0,0
99,4,8,10,2014,5304200.0,5304200.0,0,0
100,5,9,10,2014,2142200.0,2142200.0,0,0
101,6,10,10,2014,6298200.0,6298200.0,0,1
102,7,11,10,2014,0.0,0.0,0,0
103,1,12,10,2014,0.0,0.0,0,0
104,2,13,10,2014,0.0,0.0,0,0
105,3,14,10,2014,1436200.0,1436200.0,1,0
106,4,15,10,2014,2096200.0,2096200.0,0,0
107,5,16,10,2014,1205200.0,1205200.0,0,0
108,6,17,10,2014,1567200.0,1567200.0,0,0
109,7,18,10,2014,0.0,0.0,0,0
110,1,19,10,2014,0.0,0.0,0,0
111,2,20,10,2014,1747200.0,1747200.0,0,0
112,3,21,10,2014,1509200.0,1509200.0,0,0
113,4,22,10,2014,1410200.0,1410200.0,0,0
114,5,23,10,2014,554000.0,554000.0,0,0
115,6,24,10,2014,1862200.0,1862200.0,0,0
116,7,25,10,2014,0.0,0.0,0,0
117,1,26,10,2014,0.0,0.0,0,0
118,2,27,10,2014,1284000.0,1284000.0,0,0
119,3,28,10,2014,2314200.0,2314200.0,0,0
120,4,29,10,2014,1518000.0,1518000.0,0,0
121,5,30,10,2014,2050700.0,2050700.0,0,0
122,6,31,10,2014,1238700.0,1238700.0,0,0
123,7,1,11,2014,0.0,0.0,0,0
124,1,2,11,2014,0.0,0.0,0,0
125,2,3,11,2014,5859200.0,5859200.0,0,0
126,3,4,11,2014,3647200.0,3647200.0,0,0
127,4,5,11,2014,4609200.0,4609200.0,0,1
128,5,6,11,2014,0.0,0.0,0,0
129,6,7,11,2014,2256200.0,2256200.0,1,0
130,7,8,11,2014,0.0,0.0,0,0
131,1,9,11,2014,0.0,0.0,0,0
132,2,10,11,2014,4169700.0,4169700.0,0,0
133,3,11,11,2014,4354700.0,4354700.0,0,0
134,4,12,11,2014,762700.0,762700.0,0,1
135,5,13,11,2014,0.0,0.0,0,0
136,6,14,11,2014,2242700.0,2242700.0,1,0
137,7,15,11,2014,0.0,0.0,0,0
138,1,16,11,2014,0.0,0.0,0,0
139,2,17,11,2014,2126700.0,2126700.0,0,0
140,3,18,11,2014,2058700.0,2058700.0,0,0
141,4,19,11,2014,2710700.0,2710700.0,0,0
142,5,20,11,2014,2753700.0,2753700.0,0,0
143,6,21,11,2014,1482700.0,1482700.0,0,1
144,7,22,11,2014,0.0,0.0,0,0
145,1,23,11,2014,0.0,0.0,0,0
146,2,24,11,2014,0.0,0.0,0,0
147,3,25,11,2014,1762700.0,1762700.0,1,0
148,4,26,11,2014,1134700.0,1134700.0,0,0
149,5,27,11,2014,1799700.0,1799700.0,0,0
150,6,28,11,2014,1789700.0,1789700.0,0,0
151,7,29,11,2014,0.0,0.0,0,0
152,1,30,11,2014,0.0,0.0,0,0
153,2,1,12,2014,2584200.0,2584200.0,0,0
154,3,2,12,2014,4952200.0,4952200.0,0,0
155,4,3,12,2014,4934200.0,4934200.0,0,0
156,5,4,12,2014,3579700.0,3579700.0,0,0
157,6,5,12,2014,3142700.0,3142700.0,0,1
158,7,6,12,2014,0.0,0.0,0,0
159,1,7,12,2014,0.0,0.0,0,0
160,2,8,12,2014,0.0,0.0,0,0
161,3,9,12,2014,2689200.0,2689200.0,1,0
162,4,10,12,2014,2334200.0,2334200.0,0,0
163,5,11,12,2014,3572200.0,3572200.0,0,0
164,6,12,12,2014,3041200.0,3041200.0,0,0
165,7,13,12,2014,0.0,0.0,0,0
166,1,14,12,2014,0.0,0.0,0,0
167,2,15,12,2014,4869297.0,4869297.0,0,0
168,3,16,12,2014,2598000.0,2598000.0,0,0
169,4,17,12,2014,2471000.0,2471000.0,0,0
170,5,18,12,2014,3520000.0,3520000.0,0,0
171,6,19,12,2014,4801200.0,4801200.0,0,0
172,7,20,12,2014,0.0,0.0,0,0
173,1,21,12,2014,0.0,0.0,0,0
174,2,22,12,2014,5153400.0,5153400.0,0,0
175,3,23,12,2014,4023400.0,4023400.0,0,0
176,4,24,12,2014,2218400.0,1408000.0,0,2
177,5,25,12,2014,0.0,0.0,0,0
178,6,26,12,2014,0.0,0.0,0,0
179,7,27,12,2014,0.0,0.0,0,0
180,1,28,12,2014,0.0,0.0,0,0
181,2,29,12,2014,3116300.0,3926700.0,2,0
182,3,30,12,2014,3731200.0,3731200.0,0,2
183,4,31,12,2014,0.0,0.0,0,0
184,5,1,1,2015,0.0,0.0,0,0
185,6,2,1,2015,3653000.0,3653000.0,2,0
186,7,3,1,2015,0.0,0.0,0,0
187,1,4,1,2015,0.0,0.0,0,0
188,2,5,1,2015,4746800.0,4746800.0,0,0
189,3,6,1,2015,4548800.0,4548800.0,0,0
190,4,7,1,2015,4313600.0,4313600.0,0,0
191,5,8,1,2015,3671200.0,3671200.0,0,0
192,6,9,1,2015,3527200.0,3527200.0,0,0
193,7,10,1,2015,0.0,0.0,0,0
194,1,11,1,2015,0.0,0.0,0,0
195,2,12,1,2015,3800200.0,3800200.0,0,0
196,3,13,1,2015,3258200.0,3258200.0,0,0
197,4,14,1,2015,3505200.0,3505200.0,0,0
198,5,15,1,2015,5779200.0,5779200.0,0,0
199,6,16,1,2015,3456200.0,2394000.0,0,0
200,7,17,1,2015,0.0,0.0,0,0
201,1,18,1,2015,0.0,0.0,0,0
202,2,19,1,2015,700000.0,1762200.0,0,0
203,3,20,1,2015,2183200.0,2183200.0,0,0
204,4,21,1,2015,1878400.0,1878400.0,0,0
205,5,22,1,2015,2406400.0,2406400.0,0,0
206,6,23,1,2015,2456400.0,2456400.0,0,0
207,7,24,1,2015,0.0,0.0,0,0
208,1,25,1,2015,0.0,0.0,0,0
209,2,26,1,2015,1595400.0,1595400.0,0,0
210,3,27,1,2015,2620400.0,2620400.0,0,0
211,4,28,1,2015,1910400.0,1910400.0,0,0
212,5,29,1,2015,1014300.0,1014300.0,0,0
213,6,30,1,2015,1691500.0,1691500.0,0,0
214,7,31,1,2015,0.0,0.0,0,0
215,1,1,2,2015,0.0,0.0,0,0
216,2,2,2,2015,5672500.0,5672500.0,0,0
217,3,3,2,2015,6285195.0,6285195.0,0,0
218,4,4,2,2015,6968000.0,6968000.0,0,0
219,5,5,2,2015,6480500.0,6480500.0,0,0
220,6,6,2,2015,4659500.0,4659500.0,0,0
221,7,7,2,2015,0.0,0.0,0,0
222,1,8,2,2015,0.0,0.0,0,0
223,2,9,2,2015,4538573.0,4538573.0,0,0
224,3,10,2,2015,5936700.0,5936700.0,0,0
225,4,11,2,2015,4681700.0,4681700.0,0,0
226,5,12,2,2015,2837700.0,2837700.0,0,0
227,6,13,2,2015,2216753.0,2216753.0,0,2
228,7,14,2,2015,0.0,0.0,0,0
229,1,15,2,2015,0.0,0.0,0,0
230,2,16,2,2015,0.0,0.0,0,0
231,3,17,2,2015,0.0,0.0,0,0
232,4,18,2,2015,3690100.0,3690100.0,2,0
233,5,19,2,2015,4885119.0,4885119.0,0,1
234,6,20,2,2015,0.0,0.0,0,0
235,7,21,2,2015,0.0,0.0,0,0
236,1,22,2,2015,0.0,0.0,0,0
237,2,23,2,2015,5816870.0,5816870.0,1,0
238,3,24,2,2015,3348700.0,3348700.0,0,0
239,4,25,2,2015,3853700.0,3853700.0,0,0
240,5,26,2,2015,3241700.0,3241700.0,0,0
241,6,27,2,2015,3760700.0,3760700.0,0,0
242,7,28,2,2015,0.0,0.0,0,0
243,1,1,3,2015,0.0,0.0,0,0
244,2,2,3,2015,9949700.0,9949700.0,0,1
245,3,3,3,2015,0.0,0.0,0,0
246,4,4,3,2015,9006000.0,9006000.0,1,0
247,5,5,3,2015,5441900.0,5441900.0,0,0
248,6,6,3,2015,5130200.0,5130200.0,0,0
249,7,7,3,2015,0.0,0.0,0,0
250,1,8,3,2015,0.0,0.0,0,0
251,2,9,3,2015,3999203.0,3999203.0,0,0
252,3,10,3,2015,3151500.0,3151500.0,0,0
253,4,11,3,2015,5940500.0,5940500.0,0,0
254,5,12,3,2015,4086100.0,4086100.0,0,0
255,6,13,3,2015,4012500.0,4012500.0,0,0
256,7,14,3,2015,0.0,0.0,0,0
257,1,15,3,2015,0.0,0.0,0,0
258,2,16,3,2015,2241500.0,2241500.0,0,0
259,3,17,3,2015,2625500.0,2625500.0,0,0
260,4,18,3,2015,3050500.0,3050500.0,0,0
261,5,19,3,2015,1845500.0,1845500.0,0,0
262,6,20,3,2015,2546500.0,2546500.0,0,2
263,7,21,3,2015,0.0,0.0,0,0
264,1,22,3,2015,0.0,0.0,0,0
265,2,23,3,2015,0.0,0.0,0,0
266,3,24,3,2015,0.0,0.0,0,0
267,4,25,3,2015,1799500.0,1799500.0,2,0
268,5,26,3,2015,3170500.0,3170500.0,0,0
269,6,27,3,2015,2231700.0,2231700.0,0,0
270,7,28,3,2015,0.0,0.0,0,0
271,1,29,3,2015,0.0,0.0,0,0
272,2,30,3,2015,2273700.0,2273700.0,0,1
273,3,31,3,2015,0.0,0.0,0,0
274,4,1,4,2015,5541200.0,5541200.0,1,2
275,5,2,4,2015,0.0,0.0,0,0
276,6,3,4,2015,0.0,0.0,0,0
277,7,4,4,2015,0.0,0.0,0,0
278,1,5,4,2015,0.0,0.0,0,0
279,2,6,4,2015,6405100.0,6405100.0,2,0
280,3,7,4,2015,8441700.0,8441700.0,0,0
281,4,8,4,2015,6665000.0,6665000.0,0,0
282,5,9,4,2015,5186000.0,5186000.0,0,0
283,6,10,4,2015,3760600.0,3760600.0,0,0
284,7,11,4,2015,0.0,0.0,0,0
285,1,12,4,2015,0.0,0.0,0,0
286,2,13,4,2015,2959600.0,2959600.0,0,0
287,3,14,4,2015,4581600.0,4581600.0,0,0
288,4,15,4,2015,3337100.0,3337100.0,0,0
289,5,16,4,2015,4465100.0,4465100.0,0,0
290,6,17,4,2015,3759400.0,3759400.0,0,0
291,7,18,4,2015,0.0,0.0,0,0
292,1,19,4,2015,0.0,0.0,0,0
293,2,20,4,2015,3524400.0,3524400.0,0,0
294,3,21,4,2015,3311400.0,3311400.0,0,0
295,4,22,4,2015,2899400.0,2899400.0,0,0
296,5,23,4,2015,2526400.0,2526400.0,0,0
297,6,24,4,2015,3350460.0,3350460.0,0,0
298,7,25,4,2015,0.0,0.0,0,0
299,1,26,4,2015,0.0,0.0,0,0
300,2,27,4,2015,2639900.0,2639900.0,0,0
301,3,28,4,2015,3790400.0,3790400.0,0,0
302,4,29,4,2015,3446900.0,3446900.0,0,0
303,5,30,4,2015,2826900.0,2826900.0,0,1
304,6,1,5,2015,0.0,0.0,0,0
305,7,2,5,2015,0.0,0.0,0,0
306,1,3,5,2015,0.0,0.0,0,0
307,2,4,5,2015,4442500.0,4442500.0,1,0
308,3,5,5,2015,6569100.0,6569100.0,0,0
309,4,6,5,2015,8455644.0,8455644.0,0,0
310,5,7,5,2015,2178600.0,2178600.0,0,0
311,6,8,5,2015,7924600.0,7924600.0,0,0
312,7,9,5,2015,0.0,0.0,0,0
313,1,10,5,2015,0.0,0.0,0,0
314,2,11,5,2015,6265640.0,6265640.0,0,0
315,3,12,5,2015,1105200.0,1105200.0,0,0
316,4,13,5,2015,5902700.0,5902700.0,0,0
317,5,14,5,2015,4164719.0,4164719.0,0,0
318,6,15,5,2015,6057300.0,6057300.0,0,0
319,7,16,5,2015,0.0,0.0,0,0
320,1,17,5,2015,0.0,0.0,0,0
321,2,18,5,2015,2207600.0,2207600.0,0,0
322,3,19,5,2015,4120800.0,4120800.0,0,0
323,4,20,5,2015,5148600.0,5148600.0,0,0
324,5,21,5,2015,5262700.0,5262700.0,0,0
325,6,22,5,2015,4632700.0,4632700.0,0,0
326,5,28,5,2015,1959657.0,1959657.0,0,0
327,6,29,5,2015,4997100.0,4997100.0,0,0
328,7,30,5,2015,0.0,0.0,0,0
329,1,31,5,2015,0.0,0.0,0,0
330,2,1,6,2015,5182400.0,5182400.0,0,0
331,3,2,6,2015,6130700.0,6130700.0,0,0
332,4,3,6,2015,6511700.0,6511700.0,0,0
333,5,4,6,2015,4977499.0,4977499.0,0,0
334,6,5,6,2015,4314800.0,4314800.0,0,0
335,7,6,6,2015,0.0,0.0,0,0
336,1,7,6,2015,0.0,0.0,0,0
337,2,8,6,2015,3582300.0,3582300.0,0,0
338,3,9,6,2015,5812349.0,5812349.0,0,0
339,4,10,6,2015,1054400.0,1054400.0,0,0
340,5,11,6,2015,4529400.0,4529400.0,0,0
341,6,12,6,2015,6270600.0,6270600.0,0,0
342,7,13,6,2015,0.0,0.0,0,0
343,1,14,6,2015,0.0,0.0,0,0
344,2,15,6,2015,3740600.0,3740600.0,0,0
345,3,16,6,2015,3877700.0,3877700.0,0,1
346,4,17,6,2015,0.0,0.0,0,0
347,5,18,6,2015,1999718.0,1999718.0,1,0
348,6,19,6,2015,7058750.0,7058750.0,0,0
349,7,20,6,2015,0.0,0.0,0,0
350,1,21,6,2015,0.0,0.0,0,0
351,2,22,6,2015,6196100.0,6196100.0,0,0
